customerID,Churn,ChurnProbability,RiskCategory,MonthlyCharges,TotalCharges,RevenueAtRisk,Contract,tenure,TenureGroup,CustomerValueGroup,Segment,NumServices,InternetService
3410-YOQBQ,No,0.0452,Low Risk,79.2,2497.2,3.58,Two year,31,25-48 months,Medium Value,Low-Med Value / Low Risk,7,DSL
3170-NMYVV,No,0.0047,Low Risk,20.15,930.9,0.1,Two year,50,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
7410-OIEDU,No,0.4565,Medium Risk,79.85,887.35,36.45,Month-to-month,10,0-12 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
2273-QCKXA,No,0.2773,Medium Risk,49.05,49.05,13.6,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,3,DSL
0731-EBJQB,No,0.0174,Low Risk,20.4,1090.65,0.36,One year,52,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
1891-QRQSA,No,0.0675,Low Risk,111.6,7099.0,7.54,Two year,64,49+ months,High Value,High Value / Low Risk,8,Fiber optic
8028-PNXHQ,No,0.0057,Low Risk,24.25,1424.6,0.14,Two year,62,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
5630-AHZIL,No,0.2333,Low Risk,64.5,177.4,15.05,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,5,DSL
2673-CXQEU,No,0.1992,Low Risk,110.5,6139.5,22.02,One year,56,49+ months,High Value,High Value / Low Risk,8,Fiber optic
6416-JNVRK,No,0.0525,Low Risk,55.65,2688.85,2.92,One year,46,25-48 months,Medium Value,Low-Med Value / Low Risk,3,DSL
5590-ZSKRV,No,0.1573,Low Risk,54.65,482.25,8.6,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / Low Risk,4,DSL
0191-ZHSKZ,No,0.2821,Medium Risk,74.75,2111.3,21.08,Month-to-month,30,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
3887-PBQAO,No,0.0222,Low Risk,25.9,1216.6,0.58,One year,45,25-48 months,Medium Value,Low-Med Value / Low Risk,2,No
5919-TMRGD,Yes,0.703,High Risk,79.35,79.35,55.78,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,3,Fiber optic
8108-UXRQN,No,0.4158,Medium Risk,50.55,565.35,21.02,Month-to-month,11,0-12 months,Medium Value,Low-Med Value / Low Risk,4,DSL
9191-MYQKX,Yes,0.5604,High Risk,75.15,496.9,42.11,Month-to-month,7,0-12 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
9919-YLNNG,No,0.3174,Medium Risk,103.8,4327.5,32.94,Month-to-month,42,25-48 months,High Value,High Value / Low Risk,7,Fiber optic
0318-ZOPWS,No,0.0091,Low Risk,20.15,973.35,0.18,Two year,49,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
4445-ZJNMU,No,0.6913,High Risk,99.3,918.75,68.65,Month-to-month,9,0-12 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
4808-YNLEU,No,0.0783,Low Risk,62.15,2215.45,4.87,One year,35,25-48 months,Medium Value,Low-Med Value / Low Risk,4,DSL
1862-QRWPE,No,0.0054,Low Risk,20.65,1057.0,0.11,Two year,48,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
2796-NNUFI,No,0.009,Low Risk,19.95,927.1,0.18,Two year,46,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
3016-KSVCP,No,0.2721,Medium Risk,33.75,1009.25,9.18,Month-to-month,29,25-48 months,Medium Value,Low-Med Value / Low Risk,2,DSL
4767-HZZHQ,No,0.225,Low Risk,82.05,2570.2,18.46,Month-to-month,30,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
2424-WVHPL,No,0.5695,High Risk,74.7,74.7,42.54,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,3,Fiber optic
7233-PAHHL,No,0.0205,Low Risk,84.0,5714.25,1.72,Two year,66,49+ months,High Value,High Value / Low Risk,8,DSL
6067-NGCEU,No,0.2427,Low Risk,111.05,7107.0,26.96,Month-to-month,65,49+ months,High Value,High Value / Low Risk,8,Fiber optic
9848-JQJTX,No,0.1032,Low Risk,100.9,7459.05,10.41,Two year,72,49+ months,High Value,High Value / Low Risk,7,Fiber optic
8637-XJIVR,Yes,0.591,High Risk,78.95,927.35,46.66,Month-to-month,12,0-12 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
9803-FTJCG,No,0.0116,Low Risk,66.85,4748.7,0.78,One year,71,49+ months,High Value,High Value / Low Risk,6,DSL
0278-YXOOG,Yes,0.1635,Low Risk,21.05,113.85,3.44,Month-to-month,5,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
3212-KXOCR,No,0.0055,Low Risk,21.0,1107.2,0.12,Two year,52,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
4598-XLKNJ,Yes,0.6476,High Risk,98.5,2514.5,63.79,Month-to-month,25,25-48 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
6380-ARCEH,No,0.1924,Low Risk,20.2,20.2,3.89,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
3679-XASPY,No,0.2084,Low Risk,19.45,19.45,4.05,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
7123-WQUHX,No,0.1753,Low Risk,95.0,3605.6,16.66,One year,38,25-48 months,Medium Value,Low-Med Value / Low Risk,6,Fiber optic
5386-THSLQ,No,0.0359,Low Risk,45.55,3027.25,1.63,One year,66,49+ months,Medium Value,Low-Med Value / Low Risk,4,DSL
3192-NQECA,Yes,0.087,Low Risk,110.0,7611.85,9.57,Two year,68,49+ months,High Value,High Value / Low Risk,8,Fiber optic
6180-YBIQI,No,0.4455,Medium Risk,24.3,100.2,10.83,Month-to-month,5,0-12 months,Low Value,Low-Med Value / Low Risk,1,DSL
6728-DKUCO,No,0.1357,Low Risk,104.15,7303.05,14.13,One year,72,49+ months,High Value,High Value / Low Risk,7,Fiber optic
9750-BOOHV,No,0.0718,Low Risk,30.15,927.65,2.16,One year,32,25-48 months,Medium Value,Low-Med Value / Low Risk,2,DSL
8597-CWYHH,No,0.2664,Medium Risk,94.35,3921.3,25.14,One year,43,25-48 months,High Value,High Value / Low Risk,5,Fiber optic
2848-YXSMW,No,0.0017,Low Risk,19.4,1363.25,0.03,Two year,72,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
0486-HECZI,Yes,0.3116,Medium Risk,96.75,5238.9,30.15,Month-to-month,55,49+ months,High Value,High Value / Low Risk,6,Fiber optic
4549-ZDQYY,No,0.0158,Low Risk,57.95,3042.25,0.91,One year,52,49+ months,Medium Value,Low-Med Value / Low Risk,5,DSL
5712-AHQNN,No,0.3968,Medium Risk,91.65,3954.1,36.37,Month-to-month,43,25-48 months,High Value,High Value / Low Risk,5,Fiber optic
4846-WHAFZ,Yes,0.5221,High Risk,76.5,2868.15,39.94,Month-to-month,37,25-48 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
5256-SKJGO,No,0.0308,Low Risk,54.6,3423.5,1.68,Two year,64,49+ months,Medium Value,Low-Med Value / Low Risk,5,DSL
3071-VBYPO,No,0.4646,Medium Risk,89.85,248.4,41.74,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,5,Fiber optic
9560-BBZXK,No,0.0312,Low Risk,31.05,1126.35,0.97,Two year,36,25-48 months,Medium Value,Low-Med Value / Low Risk,2,DSL
5299-RULOA,Yes,0.6712,High Risk,100.25,1064.65,67.28,Month-to-month,10,0-12 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
8402-OOOHJ,No,0.0095,Low Risk,20.65,835.15,0.2,Two year,41,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
9445-ZUEQE,No,0.2965,Medium Risk,85.2,2151.6,25.26,Month-to-month,27,25-48 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
1091-SOZGA,No,0.2112,Low Risk,99.8,5515.45,21.08,One year,56,49+ months,High Value,High Value / Low Risk,6,Fiber optic
2928-HLDBA,No,0.1547,Low Risk,20.7,112.75,3.2,Month-to-month,6,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
0404-SWRVG,Yes,0.7512,Critical Risk,74.4,229.55,55.89,Month-to-month,3,0-12 months,Low Value,Low-Med Value / High Risk,3,Fiber optic
6497-TILVL,No,0.1824,Low Risk,50.7,350.35,9.25,Month-to-month,7,0-12 months,Low Value,Low-Med Value / Low Risk,3,DSL
7219-TLZHO,No,0.14,Low Risk,20.85,62.9,2.92,Month-to-month,4,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
4622-YNKIJ,No,0.1232,Low Risk,88.95,3027.65,10.96,Two year,33,25-48 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
4412-YLTKF,Yes,0.6051,High Risk,78.05,2135.5,47.23,Month-to-month,27,25-48 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
6734-PSBAW,No,0.0047,Low Risk,23.55,1723.95,0.11,Two year,72,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
3930-ZGWVE,No,0.1936,Low Risk,19.75,19.75,3.82,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
2639-UGMAZ,No,0.0598,Low Risk,56.45,3985.35,3.37,One year,71,49+ months,High Value,High Value / Low Risk,5,DSL
2876-GZYZC,No,0.73,High Risk,85.95,1215.65,62.74,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
6207-WIOLX,Yes,0.2554,Medium Risk,58.6,1502.65,14.97,Month-to-month,25,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
8587-XYZSF,No,0.0067,Low Risk,50.55,3260.1,0.34,Two year,67,49+ months,Medium Value,Low-Med Value / Low Risk,3,DSL
3091-FYHKI,Yes,0.701,High Risk,35.45,35.45,24.85,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,2,DSL
2372-HWUHI,Yes,0.4211,Medium Risk,44.35,81.25,18.68,Month-to-month,2,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
7799-LGRDP,No,0.0161,Low Risk,25.7,1188.2,0.41,Two year,43,25-48 months,Medium Value,Low-Med Value / Low Risk,2,No
7850-VWJUU,No,0.3364,Medium Risk,75.0,1778.5,25.23,Month-to-month,23,13-24 months,Medium Value,Low-Med Value / Low Risk,3,Fiber optic
3774-VBNXY,No,0.0027,Low Risk,20.2,1277.75,0.05,Two year,64,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
6217-KDYWC,No,0.0055,Low Risk,19.6,1170.55,0.11,Two year,57,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
0390-DCFDQ,Yes,0.6681,High Risk,70.45,70.45,47.07,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
3146-MSEGF,No,0.0155,Low Risk,88.05,6425.65,1.37,Two year,72,49+ months,High Value,High Value / Low Risk,9,DSL
4080-OGPJL,Yes,0.2965,Medium Risk,71.15,563.65,21.09,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / Low Risk,6,DSL
1095-WGNGG,No,0.1198,Low Risk,101.05,5971.25,12.1,Two year,61,49+ months,High Value,High Value / Low Risk,6,Fiber optic
2636-SJDOU,No,0.0727,Low Risk,84.3,5289.05,6.13,One year,64,49+ months,High Value,High Value / Low Risk,5,Fiber optic
1131-QQZEB,No,0.0039,Low Risk,23.95,1756.2,0.09,Two year,71,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
5716-EZXZN,No,0.034,Low Risk,99.05,6416.7,3.37,Two year,65,49+ months,High Value,High Value / Low Risk,7,Fiber optic
6837-BJYDQ,No,0.0992,Low Risk,19.6,61.35,1.94,One year,3,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
2135-RXIHG,Yes,0.5178,High Risk,45.65,45.65,23.64,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,2,DSL
6440-DKQGE,No,0.0657,Low Risk,64.5,1929.95,4.23,One year,30,25-48 months,Medium Value,Low-Med Value / Low Risk,5,DSL
3466-BYAVD,No,0.2176,Low Risk,69.5,1071.4,15.13,Month-to-month,15,13-24 months,Medium Value,Low-Med Value / Low Risk,6,DSL
3780-YVMFA,No,0.4277,Medium Risk,68.55,564.35,29.32,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / Low Risk,5,DSL
3874-EQOEP,Yes,0.6784,High Risk,95.0,655.5,64.44,Month-to-month,7,0-12 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
1679-JRFBR,No,0.1146,Low Risk,108.15,7930.55,12.39,One year,70,49+ months,High Value,High Value / Low Risk,8,Fiber optic
9073-ZZIAY,No,0.0129,Low Risk,86.1,5215.25,1.11,Two year,62,49+ months,High Value,High Value / Low Risk,8,DSL
3077-RSNTJ,No,0.1318,Low Risk,19.7,113.5,2.6,Month-to-month,6,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
6551-GNYDG,No,0.5151,High Risk,80.9,1152.8,41.67,Month-to-month,14,13-24 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
9167-APMXZ,No,0.5814,High Risk,84.15,1821.95,48.92,Month-to-month,22,13-24 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
2749-CTKAJ,No,0.0352,Low Risk,20.15,419.9,0.71,One year,22,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
6371-NZYEG,No,0.0519,Low Risk,64.25,1024.0,3.33,Two year,16,13-24 months,Medium Value,Low-Med Value / Low Risk,5,DSL
7554-NEWDD,No,0.0494,Low Risk,25.7,251.6,1.27,Two year,10,0-12 months,Low Value,Low-Med Value / Low Risk,2,No
8992-VONJD,No,0.2259,Low Risk,56.0,764.55,12.65,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / Low Risk,4,DSL
0867-MKZVY,Yes,0.4264,Medium Risk,82.4,1592.35,35.13,Month-to-month,20,13-24 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
4482-EWFMI,No,0.695,High Risk,69.7,135.2,48.44,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
4648-YPBTM,No,0.031,Low Risk,73.9,3958.25,2.29,Two year,53,49+ months,High Value,High Value / Low Risk,7,DSL
2907-ILJBN,No,0.0563,Low Risk,20.6,233.9,1.16,One year,11,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
6345-FZOQH,No,0.0027,Low Risk,19.9,1363.45,0.05,Two year,69,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
3376-BMGFE,Yes,0.5872,High Risk,70.9,273.0,41.63,Month-to-month,4,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
5997-OPVFA,No,0.0168,Low Risk,89.05,6254.45,1.5,Two year,72,49+ months,High Value,High Value / Low Risk,9,DSL
3445-HXXGF,Yes,0.1815,Low Risk,45.3,2651.2,8.22,Month-to-month,58,49+ months,Medium Value,Low-Med Value / Low Risk,4,DSL
1159-WFSGR,No,0.1142,Low Risk,20.4,321.4,2.33,Month-to-month,16,13-24 months,Low Value,Low-Med Value / Low Risk,1,No
7654-YWJUF,No,0.0873,Low Risk,84.25,3539.25,7.36,One year,43,25-48 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
1875-QIVME,Yes,0.7649,Critical Risk,104.4,242.8,79.86,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,7,Fiber optic
6727-IOTLZ,No,0.0762,Low Risk,81.95,1181.75,6.25,Two year,14,13-24 months,Medium Value,Low-Med Value / Low Risk,7,DSL
0691-JVSYA,Yes,0.2131,Low Risk,94.85,5000.2,20.21,One year,53,49+ months,High Value,High Value / Low Risk,5,Fiber optic
5918-VUKWP,No,0.0252,Low Risk,20.55,654.55,0.52,One year,32,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
1744-JHKYS,No,0.0879,Low Risk,24.7,780.2,2.17,Month-to-month,34,25-48 months,Medium Value,Low-Med Value / Low Risk,2,No
2656-FMOKZ,Yes,0.6261,High Risk,74.45,1145.7,46.62,Month-to-month,15,13-24 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
2070-FNEXE,Yes,0.3992,Medium Risk,76.45,503.6,30.52,Month-to-month,7,0-12 months,Medium Value,Low-Med Value / Low Risk,3,Fiber optic
5947-SGKCL,No,0.5984,High Risk,105.35,1559.25,63.04,Month-to-month,15,13-24 months,Medium Value,Low-Med Value / High Risk,7,Fiber optic
3712-PKXZA,No,0.0097,Low Risk,20.55,1252.0,0.2,One year,61,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
6317-YPKDH,Yes,0.424,Medium Risk,29.95,29.95,12.7,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
6582-OIVSP,No,0.3486,Medium Risk,45.3,45.3,15.79,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
9367-WXLCH,Yes,0.6032,High Risk,84.5,662.65,50.97,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
5524-KHNJP,No,0.0629,Low Risk,74.75,2453.3,4.7,One year,33,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
1918-ZBFQJ,Yes,0.5687,High Risk,79.25,1111.65,45.07,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
1024-GUALD,Yes,0.6552,High Risk,24.8,24.8,16.25,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,1,DSL
4827-USJHP,No,0.2346,Low Risk,51.8,1023.85,12.15,Month-to-month,20,13-24 months,Medium Value,Low-Med Value / Low Risk,3,DSL
8167-GJLRN,No,0.4491,Medium Risk,30.4,82.15,13.65,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
